name,link_wiki,en,ru,ja,zh,es,fr,vi,tr,fa,ko,ar,hu,th,hi,bn,ms,ta,sw,jv
Jesus,http://www.wikidata.org/entity/Q302,6595674,1396995,487595,351595,1983084,406404,209530,414093,416333,157219,279102,143738,131467.0,177313,44144,29870,64472,16037,2736
Elvis_Presley,http://www.wikidata.org/entity/Q303,10613337,861601,449325,179110,1716076,1056019,33781,120112,156085,30100,75411,122353,41740.0,5247,3555,6616,1707,2028,2062
Galileo_Galilei,http://www.wikidata.org/entity/Q307,2202124,316258,307389,120816,1218003,358137,84736,252469,125671,62166,100173,53642,122771.0,52651,36639,6409,18517,2713,2587
Nicolas_Sarkozy,http://www.wikidata.org/entity/Q329,774913,154282,43495,28932,122967,907210,6880,25344,18658,5003,39951,17728,3618.0,1215,2053,1140,1108,1219,925
Adolf_Hitler,http://www.wikidata.org/entity/Q352,10662537,2469629,820635,548451,2889340,1281678,258982,695986,1051723,126878,808460,229329,129219.0,196657,112102,37770,43501,12588,6206
Julian_Assange,http://www.wikidata.org/entity/Q360,2860169,298869,47688,90743,295899,356683,5733,30298,28107,3759,29674,12915,1932.0,2573,2582,1025,1242,1037,1107
Bob_Dylan,http://www.wikidata.org/entity/Q392,5506008,180274,241879,71946,476596,332473,13578,34749,26922,16505,8938,22145,6268.0,2072,4320,1890,1794,1400,1349
Carl_Sagan,http://www.wikidata.org/entity/Q410,1511798,69131,39672,27084,279618,61451,4314,44540,15076,22074,14468,8941,4325.0,8121,2462,1586,1446,915,1037
Bob_Marley,http://www.wikidata.org/entity/Q409,11280616,303181,392518,44189,1359849,1484383,11067,81346,46371,14597,97140,64196,19439.0,6025,9500,4211,4804,6871,1175
Lech_Wa%C5%82%C4%99sa,http://www.wikidata.org/entity/Q444,447867,82142,28322,40328,65649,80893,3868,10312,11657,4638,7377,10626,1693.0,2181,1426,1257,1156,1126,1254
Napoleon,http://www.wikidata.org/entity/Q517,14284251,2066881,835418,705752,3173314,2339172,149052,572923,573108,92997,489215,325453,125531.0,202492,83740,11603,14820,3179,3827
Louis_Pasteur,http://www.wikidata.org/entity/Q529,857482,132857,74607,36344,638253,263055,51777,118136,71725,25863,75784,16473,29565.0,30460,13997,1990,5880,1207,1258
Victor_Hugo,http://www.wikidata.org/entity/Q535,1016589,218409,103787,86334,339432,1179678,52613,110768,118304,23358,75655,19495,4779.0,2576,3465,1527,2222,2331,1303
