code,name,instance,citizenship,language,birth_place,birth_date,gender,birth_year
Q302,Jesus,human biblical figure,Israel,Galilean dialect,Bethlehem,,male,
Q303,Elvis_Presley,human,United States of America,English,Tupelo,1935-01-08,male,1935.0
Q307,Galileo_Galilei,human,Italy,Latin,Pisa,,male,
Q329,Nicolas_Sarkozy,human,France,French,Paris,1955-01-28,male,1955.0
Q352,Adolf_Hitler,human,Austria,German,Braunau am Inn,1889-04-20,male,1889.0
Q392,Bob_Dylan,human,United States of America,English,Duluth,1941-05-24,male,1941.0
Q409,Bob_Marley,human,Jamaica,English,Gullegem,1945-02-06,male,1945.0
Q517,Napoleon,human,France,French,Ajaccio,1769-08-15,male,1769.0
Q567,Angela_Merkel,human,Germany,German,Eimsbüttel,1954-07-17,female,1954.0
Q615,Lionel_Messi,human,Argentina,Spanish,Rosario,1987-06-24,male,1987.0
Q619,Nicolaus_Copernicus,human,Poland,Latin,Toruń,,male,
Q635,Cleopatra,human,Egypt,Ancient Greek,Alexandria,,female,
Q687,Moli%C3%A8re,human,France,French,Paris,,male,
Q692,William_Shakespeare,human,United Kingdom,English,Stratford-upon-Avon,,male,
Q720,Genghis_Khan,human,Mongolia,,Delüün Boldog,,male,
Q762,Leonardo_da_Vinci,human,Italy,Italian,Anchiano,,male,
Q23,George_Washington,human,United Kingdom,English,Westmoreland County,1732-02-22,male,1732.0
Q76,Barack_Obama,human,United States of America,English,Kapiolani Medical Center for Women and Children,1961-08-04,male,1961.0
Q91,Abraham_Lincoln,human,United States of America,English,Sinking Spring Farm,1809-02-12,male,1809.0
Q157,Fran%C3%A7ois_Hollande,human,France,French,Rouen,1954-08-12,male,1954.0
Q181,Jimmy_Wales,human,United States of America,English,Huntsville,1966-08-07,male,1966.0
Q207,George_W._Bush,human,United States of America,English,New Haven,1946-07-06,male,1946.0
Q254,Wolfgang_Amadeus_Mozart,human,Germany,German,Salzburg,1756-01-27,male,1756.0
Q255,Ludwig_van_Beethoven,human,Germany,German,Bonn,1770-12-16,male,1770.0
Q855,Joseph_Stalin,human,Russia,Georgian,Gori,,male,
Q859,Plato,human,Grece,Ancient Greek,Athens,,male,
Q868,Aristotle,human,Grece,Ancient Greek,Stageira,,male,
Q873,Meryl_Streep,human,United States of America,English,Summit,1949-06-22,female,1949.0
Q882,Charlie_Chaplin,human,United Kingdom,English,Walworth,1889-04-16,male,1889.0
Q905,Franz_Kafka,human,Austria,German,Prague,1883-07-03,male,1883.0
Q913,Socrates,human,Grece,Ancient Greek,Alopeke,,male,
Q926,Roald_Amundsen,human,Norway,Norwegian,Borge Municipality,1872-07-16,male,1872.0
Q935,Isaac_Newton,human,United Kingdom,Latin,Woolsthorpe Manor,,male,
Q937,Albert_Einstein,human,Germany,German,Ulm,1879-03-14,male,1879.0
