code,name,instance,citizenship,language,birth_place,birth_date,death_date,gender,occupation
Q302,Jesus,human biblical figure,Herodian Kingdom of Judea,"['Galilean dialect', 'Biblical Hebrew', 'Koine Greek', 'Aramaic languages']",Bethlehem,,,male,preacher
Q303,Elvis_Presley,human,United States of America,['English'],Tupelo,1935-01-08,1977-08-16,male,film actor
Q307,Galileo_Galilei,human,Duchy of Florence,"['Latin', 'Italian']",Pisa,,1642-01-08,male,astronomer
Q329,Nicolas_Sarkozy,human,France,['French'],Paris,1955-01-28,,male,politician
Q352,Adolf_Hitler,human,Cisleithania,"['Austrian German', 'German']",Braunau am Inn,1889-04-20,1945-04-30,male,politician
Q360,Julian_Assange,human,Australia,['English'],Townsville,1971-07-03,,male,Internet activist
Q392,Bob_Dylan,human,United States of America,['English'],Duluth,1941-05-24,,male,songwriter
Q410,Carl_Sagan,human,United States of America,['English'],Brooklyn,1934-11-09,1996-12-20,male,cosmologist
Q409,Bob_Marley,human,Jamaica,"['English', 'Jamaican Patois']",Gullegem,1945-02-06,1981-05-11,male,singer-songwriter
Q444,Lech_Wa%C5%82%C4%99sa,human,Poland,['Polish'],Popowo,1943-09-29,,male,politician
Q517,Napoleon,human,French First Republic,"['French', 'Corsican']",Ajaccio,1769-08-15,1821-05-05,male,politician
Q529,Louis_Pasteur,human,France,['French'],Dole,1822-12-27,1895-09-28,male,microbiologist
Q535,Victor_Hugo,human,France,['French'],Besançon,1802-02-26,1885-05-22,male,politician
Q567,Angela_Merkel,human,Germany,"['German', 'English', 'Russian']",Eimsbüttel,1954-07-17,,female,politician
Q615,Lionel_Messi,human,Argentina,"['Spanish', 'Argentine Spanish']",Rosario,1987-06-24,,male,association football player
Q619,Nicolaus_Copernicus,human,Kingdom of Poland,"['Renaissance Latin', 'Middle Polish', 'Middle Low German', 'Greek', 'Latin', 'Polish']",Toruń,,,male,astronomer
Q635,Cleopatra,human,Ptolemaic Kingdom,"['Koine Greek', 'Egyptian', 'Aramaic languages', 'Meroitic', 'Latin', 'Syriac', 'Old Arabic', 'Median', 'Parthian']",Alexandria,,,female,sovereign
Q675,Andr%C3%A9-Marie_Amp%C3%A8re,human,France,"['Ancient Greek', 'Latin', 'French']",Lyon,1775-01-20,1836-06-10,male,physicist
Q680,Alessandro_Volta,human,Duchy of Milan,"['Italian', 'Latin', 'Colombiano']",Como,1745-02-18,1827-03-05,male,physicist
